id,nom,festa1,festa2
751,Figuerola d'Orcau,2025-01-17,2025-08-14
557,Figuerola de Meià,2025-05-02,2025-08-01
871,Figuerola del Camp,2025-04-17,2025-06-16
5121,"Figuerosa, la",2025-08-16,2025-09-12
213,Flaçà,2025-07-07,2025-10-13
1019,Flix,2025-01-17,2025-08-14
513,Florejacs,2025-05-15,2025-08-16
395,"Floresta, la",2025-02-03,2025-08-25
1111,Fogars de Montclús,2025-05-02,2025-08-08
283,Fogars de la Selva,2025-05-15,2025-09-19
99,Foixà,2025-06-25,2025-08-29
1212,Folgueroles,2025-06-09,2025-09-08
823,Fondarella,2025-01-20,2025-09-01
459,Fonolleres,2025-08-23,2025-08-25
1552,Fonolleres,2025-06-09,2025-07-10
1343,Fonollosa,2025-02-21,2025-08-25
1284,Font-rubí,2025-01-22,2025-08-14
150,Fontanals de Cerdanya,2025-05-02,2025-06-23
100,Fontanilles,2025-07-04,2025-07-05
118,Fontclara,2025-01-15,2025-09-13
237,Fontcoberta,2025-08-01,2025-10-20
525,Fontdepou,2025-01-07,2025-07-19
103,Fonteta,2025-06-09,2025-07-12
558,Fontllonga,2025-08-29,2025-09-29
740,Fontsagrada,,
888,Fontscaldes,2025-02-03,2025-06-25
564,Foradada,2025-01-20,2025-03-04
271,Fornells de la Muntanya,2025-07-11,2025-10-13
214,Fornells de la Selva,2025-07-25,2025-10-29
24,Fortià,2025-05-02,2025-06-27
945,Forès,2025-09-05,2025-12-05
1037,Freginals,2025-10-16,2025-12-05
335,Freixinet,2025-07-10,2025-09-29
420,"Fuliola, la",,
396,Fulleda,2025-08-29,2025-09-01
1427,Fígols,2025-10-16,2025-11-22
645,Fígols,2025-01-20,2025-05-14
667,Fórnols,2025-11-14,2025-11-15
1347,Gaià,2025-09-05,2025-09-08
1348,Galera,2025-07-04,2025-07-07
1038,"Galera, la",2025-03-19,2025-06-09
1156,Gallifa,2025-04-17,2025-09-12
1054,Gandesa,2025-09-05,2025-09-08
1020,Garcia,2025-01-17,2025-08-14
872,"Garidells, els",2025-01-17,2025-07-25
1118,"Garriga, la",2025-06-09,2025-10-01
111,Garrigoles,2025-01-22,2025-11-29
30,Garriguella,2025-08-25,2025-12-09
25,Garrigàs,2025-06-30,2025-09-29
780,Garòs,2025-08-16,2025-08-28
796,Gausac,2025-08-16,2025-10-08
738,Gavet de la Conca,2025-01-20,2025-09-29
1075,Gavà,2025-06-30,2025-12-15
1285,Gelida,2025-08-18,2025-12-13
151,Ger,2025-09-08,2025-12-31
578,Gerb,2025-08-06,2025-11-10
687,Gerri de la Sal,2025-01-20,2025-08-01
781,Gessa,2025-06-14,2025-06-30
359,Gimenells,2025-05-15,2025-10-07
358,Gimenells i el Pla de la Font,,
1021,Ginestar,2025-11-07,2025-11-10
215,Girona,2025-07-25,2025-10-29
1428,Gironella,2025-04-25,2025-08-18
1429,Gisclareny,2025-04-23,2025-06-09
1219,"Gleva, la",2025-09-01,2025-09-08
5124,Glorieta,,
952,Glorieta,2025-05-12,2025-10-06
1039,Godall,2025-03-04,2025-06-09
824,Golmés,2025-06-10,2025-08-06
251,Gombrèn,2025-09-08,2025-09-09
1278,"Gornal, la",2025-04-17,2025-06-30
575,"Gos, el",,
499,Gospí,2025-09-26,2025-10-06
514,Gra,2025-05-15,2025-08-06
1468,Gramuntell,2025-04-28,2025-08-25
1286,"Granada, la",2025-07-14,2025-08-29
397,"Granadella, la",2025-01-17,2025-09-12
1119,Granera,2025-01-17,2025-11-11
357,"Granja d'Escarp, la",2025-01-20,2025-07-25
538,Granollers,2025-05-15,2025-07-25
1120,Granollers,2025-05-30,2025-08-29
457,Granyanella,2025-08-01,2025-08-02
461,Granyena de Segarra,2025-09-10,2025-09-12
398,Granyena de les Garrigues,2025-03-19,2025-10-06
981,Gratallops,2025-01-20,2025-08-11
152,Gréixer,2025-06-02,2025-11-24
1121,Gualba,2025-01-20,2025-08-14
112,Gualta,2025-07-30,2025-07-31
544,Gualter,2025-03-04,2025-08-16
594,Guardiola,2025-04-26,2025-11-11
644,Guardiola,2025-05-15,2025-10-06
1431,Guardiola de Berguedà,2025-04-25,2025-06-20
1511,Guialmons,2025-05-09,2025-05-10
982,"Guiamets, els",2025-08-18,2025-12-29
154,Guils de Cerdanya,2025-05-15,2025-12-24
421,Guimerà,2025-01-18,2025-04-26
695,"Guingueta d'Àneu, la",2025-02-04,2025-12-09
462,Guissona,2025-06-09,2025-09-08
309,Guixers,2025-05-08,2025-06-09
1270,"Gunyoles, les",2025-04-17,2025-08-11
865,"Gunyoles, les",2025-01-20,2025-07-25
1213,Gurb,2025-04-17,2025-06-09
1345,"Guàrdia Lada, la",,
648,Guàrdia d'Ares,2025-08-18,2025-10-13
438,"Guàrdia d'Urgell, la",2025-01-20,2025-06-06
722,Guàrdia de Tremp,2025-03-19,2025-08-29
1442,"Guàrdia, la",,
600,Gàrzola,2025-09-08,2025-09-15
455,Gàver,2025-05-12,2025-08-25
1430,Gósol,2025-06-09,2025-10-31
1055,Horta de Sant Joan,2025-03-18,2025-09-08
305,Hortoneda,2025-05-02,2025-06-27
681,Hortoneda,2025-05-02,2025-08-14
1062,"Hospitalet de Llobregat, l'",2025-06-09,2025-09-24
919,"Hospitalet de l'Infant, l'",2025-06-30,2025-08-14
478,Hostafrancs,2025-05-16,2025-08-23
590,"Hostal Nou i la Codosa, l'",2025-06-09,2025-07-25
487,Hostalets,2025-04-28,2025-08-25
198,"Hostalets d'en Bas, els",2025-08-11,2025-09-08
1389,"Hostalets de Pierola, els",2025-07-24,2025-07-25
284,Hostalric,2025-07-07,2025-09-29
1390,Igualada,2025-04-22,2025-08-25
677,Isavarre,,
678,Isil,,
752,Isona,2025-01-25,2025-08-29
155,Isòvol,2025-09-25,2025-09-26
825,Ivars d'Urgell,2025-06-09,2025-11-28
568,Ivars de Noguera,2025-01-20,2025-08-01
463,Ivorra,2025-01-17,2025-10-16
113,Jafre,2025-09-08,2025-11-11
683,Jesús,2025-06-09,2025-10-04
199,Joanetes,2025-07-21,2025-09-08
31,"Jonquera, la",2025-06-09,2025-09-08
1391,Jorba,2025-04-22,2025-07-28
625,Josa de Cadí,2025-01-20,2025-09-08
216,Juià,2025-09-08,2025-10-29
399,Juncosa,2025-05-15,2025-09-08
400,Juneda,2025-08-25,2025-08-26
1316,Lavern,2025-04-17,2025-06-30
